#where:  midlatitude summer  (AFGL Atmospheric Constituent Profiles)
#                                           molecular  concentrations 
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km  g/(cm.s^2)     K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppm
  22.00  4.3700E+04   221.60   3.600E-06  3.300E-04  2.900E-06  1.146E-07  1.232E-08  1.066E-06  0.781    2.090E+05
  23.00  3.7600E+04   222.80   3.850E-06  3.300E-04  3.400E-06  1.035E-07  1.307E-08  9.730E-07  0.781    2.090E+05
  24.00  3.2200E+04   223.90   4.000E-06  3.300E-04  4.000E-06  9.622E-08  1.400E-08  8.800E-07  0.781    2.090E+05
  25.00  2.7700E+04   225.10   4.200E-06  3.300E-04  4.800E-06  8.958E-08  1.521E-08  7.888E-07  0.781    2.090E+05
  27.50  1.9070E+04   228.45   4.450E-06  3.300E-04  6.000E-06  8.006E-08  1.722E-08  7.046E-07  0.781    2.090E+05
  30.00  1.3200E+04   233.70   4.700E-06  3.300E-04  7.000E-06  6.698E-08  1.995E-08  6.315E-07  0.781    2.090E+05
  32.50   9300.       239.00   4.850E-06  3.300E-04  8.100E-06  4.958E-08  2.266E-08  5.592E-07  0.781    2.090E+05
  35.00   6520.       245.20   4.950E-06  3.300E-04  8.900E-06  3.695E-08  2.487E-08  5.008E-07  0.781    2.090E+05
  37.50   4640.       251.30   5.000E-06  3.300E-04  8.700E-06  2.519E-08  2.716E-08  4.453E-07  0.781    2.090E+05
  40.00   3330.       257.50   5.100E-06  3.300E-04  7.550E-06  1.736E-08  2.962E-08  3.916E-07  0.781    2.090E+05
  42.50   2410.       263.70   5.300E-06  3.300E-04  5.900E-06  1.158E-08  3.138E-08  3.389E-07  0.781    2.090E+05
  45.00   1760.       269.90   5.450E-06  3.300E-04  4.500E-06  7.665E-09  3.307E-08  2.873E-07  0.781    2.090E+05
  47.50   1290.       275.20   5.500E-06  3.300E-04  3.500E-06  5.321E-09  3.487E-08  2.384E-07  0.781    2.090E+05
  50.00   951.0       275.70   5.500E-06  3.300E-04  2.800E-06  3.215E-09  3.645E-08  1.944E-07  0.781    2.090E+05
  55.00   515.0       269.30   5.350E-06  3.300E-04  1.800E-06  2.030E-09  3.923E-08  1.574E-07  0.781    2.090E+05
  60.00   272.0       257.10   5.000E-06  3.300E-04  1.300E-06  1.397E-09  4.673E-08  1.500E-07  0.781    2.090E+05
  65.00   139.0       240.10   4.400E-06  3.300E-04  8.000E-07  1.020E-09  6.404E-08  1.500E-07  0.781    2.090E+05
  70.00   67.00       218.10   3.700E-06  3.300E-04  4.000E-07  7.772E-10  1.177E-07  1.500E-07  0.781    2.090E+05
  75.00   30.00       196.10   2.950E-06  3.300E-04  1.900E-07  6.257E-10  2.935E-07  1.500E-07  0.781    2.090E+05
  80.00   12.00       174.10   2.100E-06  3.280E-04  2.000E-07  5.166E-10  6.815E-07  1.500E-07  0.781    2.090E+05
  85.00   4.480       165.10   1.330E-06  3.200E-04  5.700E-07  4.352E-10  1.465E-06  1.500E-07  0.781    2.000E+05
  90.00   1.640       165.00   8.500E-07  3.100E-04  7.500E-07  3.727E-10  2.849E-06  1.400E-07  0.780    1.900E+05
