# atmos --saveVMR -z0[0.2]20[1]40 -fxy -o USstandard_200m.XY USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3Cl        H2O2        C2H2        C2H6         PH3         HO2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     288.200   2.548e+19    7.74e+03         330      0.0266        0.32        0.15         1.7    2.09e+05      0.0003      0.0003     2.3e-05      0.0005       5e-05     4.4e-08       1e-08       0.001     1.7e-06       3e-06       1e-08      0.0006      0.0024     7.7e-06    7.81e+05     0.00017      0.0007      0.0002      0.0003       0.002       1e-14       4e-05
     0.200     989.054     286.900   2.499e+19    7.41e+03         330      0.0271        0.32       0.149         1.7    2.09e+05      0.0003    0.000295     2.3e-05      0.0005    5.19e-05     4.4e-08       1e-08     0.00095     1.7e-06       3e-06       1e-08    0.000598     0.00213    8.28e-06    7.81e+05    0.000169    0.000694    0.000199    0.000274       0.002       1e-14    3.78e-05
     0.400     965.675     285.600   2.451e+19    7.08e+03         330      0.0277        0.32       0.148         1.7    2.09e+05      0.0003     0.00029     2.3e-05      0.0005    5.38e-05     4.4e-08       1e-08      0.0009     1.7e-06       3e-06       1e-08    0.000596     0.00187    8.86e-06    7.81e+05    0.000168    0.000688    0.000198    0.000249       0.002       1e-14    3.56e-05
     0.600     942.848     284.300   2.404e+19    6.74e+03         330      0.0282        0.32       0.147         1.7    2.09e+05      0.0003    0.000284     2.3e-05      0.0005    5.58e-05     4.4e-08       1e-08    0.000849     1.7e-06       3e-06       1e-08    0.000594      0.0016    9.44e-06    7.81e+05    0.000167    0.000682    0.000197    0.000223       0.002       1e-14    3.34e-05
     0.800     920.561     283.000   2.358e+19    6.41e+03         330      0.0288        0.32       0.146         1.7    2.09e+05      0.0003    0.000279     2.3e-05      0.0005    5.77e-05     4.4e-08       1e-08    0.000799     1.7e-06       3e-06       1e-08    0.000592     0.00134       1e-05    7.81e+05    0.000166    0.000676    0.000196    0.000198       0.002       1e-14    3.12e-05
     1.000       898.8     281.700   2.313e+19    6.07e+03         330      0.0293        0.32       0.145         1.7    2.09e+05      0.0003    0.000274     2.3e-05      0.0005    5.96e-05     4.4e-08       1e-08    0.000749     1.7e-06       3e-06       1e-08     0.00059     0.00107    1.06e-05    7.81e+05    0.000165     0.00067    0.000195    0.000172       0.002       1e-14     2.9e-05
     1.200     877.009     280.400   2.267e+19    5.78e+03         330      0.0299        0.32       0.144         1.7    2.09e+05      0.0003    0.000266     2.3e-05    0.000493    6.15e-05     4.4e-08    1.05e-08    0.000711     1.7e-06       3e-06       1e-08    0.000588    0.000937    1.09e-05    7.81e+05    0.000165    0.000665    0.000194    0.000157       0.002       1e-14    2.72e-05
     1.400     855.746     279.100   2.223e+19     5.5e+03         330      0.0305        0.32       0.143         1.7    2.09e+05      0.0003    0.000259     2.3e-05    0.000485    6.35e-05     4.4e-08    1.09e-08    0.000674     1.7e-06       3e-06       1e-08    0.000586    0.000804    1.12e-05    7.81e+05    0.000164    0.000659    0.000194    0.000141       0.002       1e-14    2.54e-05
     1.600     834.998     277.800   2.179e+19    5.21e+03         330      0.0311        0.32       0.142         1.7    2.09e+05      0.0003    0.000251     2.3e-05    0.000478    6.54e-05     4.4e-08    1.14e-08    0.000636     1.7e-06       3e-06       1e-08    0.000584     0.00067    1.16e-05    7.81e+05    0.000164    0.000654    0.000193    0.000126       0.002       1e-14    2.36e-05
     1.800     814.754     276.500   2.136e+19    4.92e+03         330      0.0318        0.32       0.141         1.7    2.09e+05      0.0003    0.000244     2.3e-05     0.00047    6.74e-05     4.4e-08    1.18e-08    0.000599     1.7e-06       3e-06       1e-08    0.000582    0.000537    1.19e-05    7.81e+05    0.000163    0.000648    0.000193    0.000111       0.002       1e-14    2.18e-05
