# atmos --saveVMR -z0[0.5]20[1]50 -fxy -o USstandard_500m.XY USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3Cl        H2O2        C2H2        C2H6         PH3         HO2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     8.000       356.5     236.200   1.094e+19         367         330      0.0597        0.32       0.119         1.7    2.09e+05      0.0003    7.21e-05     2.3e-05    6.48e-05    0.000139    4.45e-08    2.41e-07    9.96e-05     1.7e-06       3e-06    1.01e-08    0.000532    5.01e-05     4.7e-06    7.81e+05     0.00016    0.000598    0.000123    2.55e-05     0.00179       1e-14     1.6e-06
     8.500     331.364     232.950   1.031e+19         262         330      0.0757       0.319       0.114        1.69    2.09e+05      0.0003    6.88e-05    2.31e-05    5.12e-05    0.000146     4.5e-08    3.22e-07    8.72e-05     1.7e-06       3e-06    1.03e-08    0.000528    4.62e-05    4.55e-06    7.81e+05     0.00016    0.000596    0.000107    2.47e-05     0.00176       1e-14    1.21e-06
     9.000         308     229.700   9.719e+18         158         330      0.0917       0.319       0.109        1.69    2.09e+05      0.0003    6.56e-05    2.32e-05    3.77e-05    0.000153    4.56e-08    4.04e-07    7.48e-05     1.7e-06       3e-06    1.05e-08    0.000525    4.22e-05    4.41e-06    7.81e+05     0.00016    0.000594    9.09e-05     2.4e-05     0.00172       1e-14     8.2e-07
     9.500     285.692     226.500   9.143e+18         114         330       0.111       0.319       0.104        1.69    2.09e+05      0.0003    6.32e-05    2.35e-05     2.9e-05    0.000163    4.62e-08     5.3e-07    6.58e-05     1.7e-06       3e-06    1.13e-08    0.000522    3.93e-05    4.37e-06    7.81e+05     0.00016    0.000591    7.44e-05    2.33e-05     0.00165       1e-14     6.8e-07
    10.000         265     223.300   8.602e+18          70         330       0.131       0.318      0.0996        1.68    2.09e+05      0.0003    6.08e-05    2.38e-05    2.03e-05    0.000174    4.68e-08    6.57e-07    5.68e-05     1.7e-06       3e-06    1.21e-08    0.000518    3.63e-05    4.34e-06    7.81e+05     0.00016    0.000588    5.79e-05    2.27e-05     0.00158       1e-14     5.4e-07
    10.500     245.265     220.050    8.08e+18          53         330       0.173       0.316      0.0946        1.67    2.09e+05      0.0003    5.93e-05     2.5e-05    1.56e-05    0.000188    4.74e-08    9.28e-07    5.13e-05     1.7e-06       3e-06    1.54e-08    0.000514    3.53e-05     4.5e-06    7.81e+05     0.00016    0.000583    4.61e-05    2.18e-05     0.00144       1e-14    4.85e-07
    11.000         227     216.800   7.589e+18        36.1         330       0.215       0.314      0.0896        1.67    2.09e+05      0.0003    5.79e-05    2.62e-05    1.09e-05    0.000202     4.8e-08     1.2e-06    4.59e-05     1.7e-06       3e-06    1.87e-08    0.000509    3.43e-05    4.65e-06    7.81e+05     0.00016    0.000579    3.43e-05    2.08e-05      0.0013       1e-14     4.3e-07
    11.500     209.852     216.750   7.017e+18        27.6         330       0.263       0.312      0.0839        1.67    2.09e+05      0.0003     5.7e-05    2.88e-05     8.6e-06    0.000222    4.87e-08    1.58e-06    4.47e-05     1.7e-06       3e-06    2.52e-08    0.000504    3.41e-05    4.83e-06    7.81e+05     0.00016    0.000572    2.69e-05    1.92e-05     0.00114       1e-14    3.85e-07
    12.000         194     216.700   6.489e+18        19.1         330        0.31        0.31      0.0781        1.66    2.09e+05      0.0003     5.6e-05    3.15e-05     6.3e-06    0.000241    4.94e-08    1.96e-06    4.36e-05     1.7e-06       3e-06    3.18e-08    0.000498    3.39e-05    5.01e-06    7.81e+05     0.00016    0.000566    1.95e-05    1.76e-05    0.000986       1e-14     3.4e-07
    12.500     179.347     216.700   5.999e+18          15         330       0.348       0.307      0.0709        1.65    2.09e+05    0.000299    5.59e-05     3.8e-05    4.71e-06    0.000258    5.06e-08    2.54e-06    5.43e-05     1.7e-06       3e-06    4.39e-08     0.00049    3.44e-05    5.12e-06    7.81e+05     0.00016    0.000557    1.51e-05    1.49e-05    0.000854       1e-14    3.05e-07
    13.000       165.8     216.700   5.546e+18        10.9         330       0.385       0.305      0.0637        1.64    2.09e+05    0.000299    5.59e-05    4.45e-05    3.12e-06    0.000276    5.19e-08    3.12e-06    6.51e-05     1.7e-06       3e-06    5.61e-08    0.000482     3.5e-05    5.22e-06    7.81e+05    0.000159    0.000548    1.08e-05    1.23e-05    0.000722       1e-14     2.7e-07
    13.500     153.277     216.700   5.127e+18        8.41         330       0.444       0.302       0.057        1.63    2.09e+05    0.000297    5.61e-05    5.96e-05    2.12e-06    0.000304    5.42e-08    3.87e-06     8.3e-05     1.7e-06       3e-06     7.8e-08    0.000471    3.56e-05    5.41e-06    7.81e+05    0.000158    0.000538     8.7e-06    9.81e-06    0.000609       1e-14     2.4e-07
    14.000       141.7     216.700   4.739e+18        5.93         330       0.503         0.3      0.0503        1.63    2.09e+05    0.000295    5.64e-05    7.48e-05    1.11e-06    0.000333    5.65e-08    4.62e-06    0.000101     1.7e-06       3e-06    9.99e-08     0.00046    3.62e-05     5.6e-06    7.81e+05    0.000157    0.000528    6.59e-06    7.32e-06    0.000496       1e-14     2.1e-07
    14.500     130.996     216.700   4.381e+18        5.46         330       0.577       0.297      0.0448        1.62    2.09e+05    0.000289     5.7e-05    0.000123    7.79e-07    0.000392     6.2e-08    5.85e-06    0.000132     1.7e-06       3e-06    1.39e-07    0.000443    3.62e-05    6.23e-06    7.81e+05    0.000156    0.000516    5.39e-06    5.92e-06    0.000416       1e-14     1.9e-07
    15.000       121.1     216.700    4.05e+18           5         330        0.65       0.294      0.0394        1.61    2.09e+05    0.000283    5.75e-05    0.000171    4.47e-07    0.000452    6.75e-08    7.09e-06    0.000163     1.7e-06       3e-06    1.78e-07    0.000426    3.62e-05    6.86e-06    7.81e+05    0.000155    0.000503     4.2e-06    4.52e-06    0.000335       1e-14     1.7e-07
    15.500     111.955     216.700   3.744e+18        4.47         330        0.76       0.291       0.035         1.6    2.09e+05    0.000276    5.75e-05    0.000245    3.29e-07    0.000594     7.5e-08    8.79e-06      0.0002     1.7e-06       3e-06    2.47e-07    0.000407     3.6e-05    7.82e-06    7.81e+05    0.000153     0.00049    3.57e-06    3.55e-06    0.000275       1e-14    2.05e-07
    16.000       103.5     216.700   3.462e+18        3.95         330        0.87       0.288      0.0307        1.58    2.09e+05    0.000268    5.75e-05    0.000319    2.11e-07    0.000737    8.25e-08    1.05e-05    0.000237     1.7e-06       3e-06    3.16e-07    0.000388    3.58e-05    8.77e-06    7.81e+05    0.000152    0.000477    2.94e-06    2.59e-06    0.000214       1e-14     2.4e-07
    16.500     95.7066     216.700   3.201e+18         3.9         330        1.03       0.283      0.0278        1.56    2.09e+05     0.00026    5.56e-05    0.000419     1.6e-07     0.00102    9.33e-08    1.37e-05    0.000275     1.7e-06       3e-06     4.4e-07    0.000368    3.54e-05    1.04e-05    7.81e+05     0.00015    0.000463    2.62e-06    2.07e-06    0.000181       1e-14     2.9e-07
    17.000        88.5     216.700    2.96e+18        3.85         330        1.19       0.278      0.0249        1.55    2.09e+05    0.000252    5.37e-05    0.000519     1.1e-07     0.00131    1.04e-07    1.69e-05    0.000313     1.7e-06       3e-06    5.65e-07    0.000348     3.5e-05     1.2e-05    7.81e+05    0.000149    0.000449     2.3e-06    1.55e-06    0.000149       1e-14     3.4e-07
    17.500     81.8231     216.700   2.737e+18        3.84         330        1.39       0.272      0.0223        1.54    2.09e+05    0.000246    5.08e-05    0.000645    8.85e-08     0.00171    1.17e-07    2.13e-05    0.000349     1.7e-06       3e-06    8.02e-07    0.000329    3.46e-05    1.42e-05    7.81e+05    0.000147    0.000435    2.27e-06    1.21e-06    0.000127       1e-14     4.1e-07
    18.000       75.65     216.700    2.53e+18        3.83         330        1.59       0.267      0.0197        1.52    2.09e+05     0.00024    4.78e-05    0.000771     6.7e-08     0.00211     1.3e-07    2.57e-05    0.000385     1.7e-06       3e-06    1.04e-06    0.000309    3.42e-05    1.63e-05    7.81e+05    0.000145    0.000421    2.24e-06    8.63e-07    0.000105       1e-14     4.8e-07
