# atmos --saveVMR -z0[0.1]20[1]40 -fxy -o USstandard_100m.XY USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3Cl        H2O2        C2H2        C2H6         PH3         HO2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     288.200   2.548e+19    7.74e+03         330      0.0266        0.32        0.15         1.7    2.09e+05      0.0003      0.0003     2.3e-05      0.0005       5e-05     4.4e-08       1e-08       0.001     1.7e-06       3e-06       1e-08      0.0006      0.0024     7.7e-06    7.81e+05     0.00017      0.0007      0.0002      0.0003       0.002       1e-14       4e-05
     0.100     1000.96     287.550   2.523e+19    7.58e+03         330      0.0269        0.32       0.149         1.7    2.09e+05      0.0003    0.000297     2.3e-05      0.0005     5.1e-05     4.4e-08       1e-08    0.000975     1.7e-06       3e-06       1e-08    0.000599     0.00227    7.99e-06    7.81e+05     0.00017    0.000697      0.0002    0.000287       0.002       1e-14    3.89e-05
     0.200     989.054     286.900   2.499e+19    7.41e+03         330      0.0271        0.32       0.149         1.7    2.09e+05      0.0003    0.000295     2.3e-05      0.0005    5.19e-05     4.4e-08       1e-08     0.00095     1.7e-06       3e-06       1e-08    0.000598     0.00213    8.28e-06    7.81e+05    0.000169    0.000694    0.000199    0.000274       0.002       1e-14    3.78e-05
     0.300     977.295     286.250   2.475e+19    7.24e+03         330      0.0274        0.32       0.148         1.7    2.09e+05      0.0003    0.000292     2.3e-05      0.0005    5.29e-05     4.4e-08       1e-08    0.000925     1.7e-06       3e-06       1e-08    0.000597       0.002    8.57e-06    7.81e+05    0.000168    0.000691    0.000198    0.000262       0.002       1e-14    3.67e-05
     0.400     965.675     285.600   2.451e+19    7.08e+03         330      0.0277        0.32       0.148         1.7    2.09e+05      0.0003     0.00029     2.3e-05      0.0005    5.38e-05     4.4e-08       1e-08      0.0009     1.7e-06       3e-06       1e-08    0.000596     0.00187    8.86e-06    7.81e+05    0.000168    0.000688    0.000198    0.000249       0.002       1e-14    3.56e-05
     0.500     954.193     284.950   2.428e+19    6.91e+03         330       0.028        0.32       0.147         1.7    2.09e+05      0.0003    0.000287     2.3e-05      0.0005    5.48e-05     4.4e-08       1e-08    0.000875     1.7e-06       3e-06       1e-08    0.000595     0.00173    9.15e-06    7.81e+05    0.000167    0.000685    0.000197    0.000236       0.002       1e-14    3.45e-05
     0.600     942.848     284.300   2.404e+19    6.74e+03         330      0.0282        0.32       0.147         1.7    2.09e+05      0.0003    0.000284     2.3e-05      0.0005    5.58e-05     4.4e-08       1e-08    0.000849     1.7e-06       3e-06       1e-08    0.000594      0.0016    9.44e-06    7.81e+05    0.000167    0.000682    0.000197    0.000223       0.002       1e-14    3.34e-05
     0.700     931.638     283.650   2.381e+19    6.57e+03         330      0.0285        0.32       0.146         1.7    2.09e+05      0.0003    0.000282     2.3e-05      0.0005    5.67e-05     4.4e-08       1e-08    0.000824     1.7e-06       3e-06       1e-08    0.000593     0.00147    9.73e-06    7.81e+05    0.000166    0.000679    0.000196     0.00021       0.002       1e-14    3.23e-05
     0.800     920.561     283.000   2.358e+19    6.41e+03         330      0.0288        0.32       0.146         1.7    2.09e+05      0.0003    0.000279     2.3e-05      0.0005    5.77e-05     4.4e-08       1e-08    0.000799     1.7e-06       3e-06       1e-08    0.000592     0.00134       1e-05    7.81e+05    0.000166    0.000676    0.000196    0.000198       0.002       1e-14    3.12e-05
     0.900     909.615     282.350   2.335e+19    6.24e+03         330       0.029        0.32       0.145         1.7    2.09e+05      0.0003    0.000277     2.3e-05      0.0005    5.86e-05     4.4e-08       1e-08    0.000774     1.7e-06       3e-06       1e-08    0.000591      0.0012    1.03e-05    7.81e+05    0.000165    0.000673    0.000196    0.000185       0.002       1e-14    3.01e-05
     1.000       898.8     281.700   2.313e+19    6.07e+03         330      0.0293        0.32       0.145         1.7    2.09e+05      0.0003    0.000274     2.3e-05      0.0005    5.96e-05     4.4e-08       1e-08    0.000749     1.7e-06       3e-06       1e-08     0.00059     0.00107    1.06e-05    7.81e+05    0.000165     0.00067    0.000195    0.000172       0.002       1e-14     2.9e-05
     1.100     887.837     281.050    2.29e+19    5.93e+03         330      0.0296        0.32       0.144         1.7    2.09e+05      0.0003     0.00027     2.3e-05    0.000496    6.06e-05     4.4e-08    1.02e-08     0.00073     1.7e-06       3e-06       1e-08    0.000589       0.001    1.08e-05    7.81e+05    0.000165    0.000667    0.000195    0.000164       0.002       1e-14    2.81e-05
     1.200     877.009     280.400   2.267e+19    5.78e+03         330      0.0299        0.32       0.144         1.7    2.09e+05      0.0003    0.000266     2.3e-05    0.000493    6.15e-05     4.4e-08    1.05e-08    0.000711     1.7e-06       3e-06       1e-08    0.000588    0.000937    1.09e-05    7.81e+05    0.000165    0.000665    0.000194    0.000157       0.002       1e-14    2.72e-05
     1.300     866.312     279.750   2.245e+19    5.64e+03         330      0.0302        0.32       0.143         1.7    2.09e+05      0.0003    0.000263     2.3e-05    0.000489    6.25e-05     4.4e-08    1.07e-08    0.000693     1.7e-06       3e-06       1e-08    0.000587     0.00087    1.11e-05    7.81e+05    0.000164    0.000662    0.000194    0.000149       0.002       1e-14    2.63e-05
