# atmos --saveVMR -z0[1]10[2]20[2.5]40[5]60[10]100 -x NO SO2 NO2 NH3 HNO3 OH HF HCl HBr HI ClO OCS H2CO HOCl N2 HCN CH3CL H2O2 C2H2 C2H6 PH3 HO2 -fxy -o 32/traceGases.xy  50/USstandard_main.xy
#
#where: AFGL Atmospheric Constituent Profiles --- Trace Gases
#what:   z          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3CL        H2O2        C2H2        C2H6         PH3         HO2
#units: km         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
    16.000    0.000268    5.75e-05    0.000319    2.11e-07    0.000737    8.25e-08    1.05e-05    0.000237     1.7e-06       3e-06    3.16e-07    0.000388    3.58e-05    8.77e-06    7.81e+05    0.000152    0.000477    2.94e-06    2.59e-06    0.000214       1e-14     2.4e-07
    18.000     0.00024    4.78e-05    0.000771     6.7e-08     0.00211     1.3e-07    2.57e-05    0.000385     1.7e-06       3e-06    1.04e-06    0.000309    3.42e-05    1.63e-05    7.81e+05    0.000145    0.000421    2.24e-06    8.63e-07    0.000105       1e-14     4.8e-07
    20.000    0.000255    3.19e-05     0.00139    2.41e-08      0.0042    2.16e-07    5.77e-05    0.000489     1.7e-06       3e-06    4.64e-06    0.000241    3.43e-05    3.07e-05    7.81e+05    0.000137    0.000369    3.68e-06     3.1e-07    6.01e-05       1e-14     9.6e-07
    22.500   0.0005255    2.09e-05    0.002373   1.274e-06    0.005621   6.442e-07   0.0001102   0.0005638     1.7e-06       3e-06   1.246e-05   0.0001753    3.92e-05   6.637e-05    7.81e+05    0.000127    0.000302   1.418e-05  -4.389e-07   2.071e-05       1e-14  -4.344e-06
    25.000    0.000685    1.75e-05     0.00374    1.23e-08     0.00561    2.18e-06    0.000182    0.000651    1.71e-06       3e-06    3.97e-05    0.000108    5.82e-05    0.000131    7.81e+05    0.000113    0.000191     6.2e-05    8.51e-09    1.22e-05       1e-14     6.7e-06
    27.500     0.00128    1.54e-05     0.00481    9.37e-09     0.00482       5e-06     0.00023    0.000751    1.76e-06       3e-06    8.48e-05     6.7e-05    7.21e-05    0.000184    7.81e+05    0.000105     0.00011    0.000103    4.09e-09    5.74e-06       1e-14     1.4e-05
    30.000     0.00245    1.34e-05     0.00616    6.35e-09     0.00374    1.17e-05    0.000283    0.000988     1.9e-06       3e-06    0.000185    2.96e-05    8.73e-05    0.000245    7.81e+05    9.73e-05    4.72e-05    0.000136    2.52e-09    2.14e-06       1e-14     2.9e-05
    32.500     0.00453    1.21e-05     0.00721    3.68e-09     0.00259     3.4e-05     0.00032     0.00128    2.26e-06       3e-06    0.000357    1.21e-05    0.000101    0.000296    7.81e+05    9.04e-05    1.79e-05    0.000136    1.86e-09    8.49e-07       1e-14     4.4e-05
    35.000     0.00714    1.16e-05     0.00728    1.82e-09     0.00164    8.35e-05    0.000348     0.00157    2.82e-06       3e-06    0.000508    4.31e-06    0.000111    0.000321    7.81e+05    8.46e-05    7.35e-06    0.000113    1.52e-09    3.42e-07       1e-14     6.8e-05
    37.500     0.00934    1.21e-05     0.00626    9.26e-10    0.000968     0.00017    0.000372     0.00169    3.69e-06       3e-06    0.000607     1.6e-06    0.000113    0.000304    7.81e+05    8.02e-05    3.03e-06    8.51e-05    1.32e-09    1.34e-07       1e-14     8.2e-05
    40.000      0.0112    1.36e-05     0.00403    2.94e-10    0.000533    0.000285    0.000395     0.00174    4.91e-06       3e-06    0.000595    6.71e-07    0.000103    0.000248    7.81e+05    7.63e-05    1.32e-06    6.37e-05    1.18e-09    5.39e-08       1e-14     9.8e-05
    45.000      0.0117     2.1e-05     0.00115    2.98e-11    0.000121    0.000511    0.000421     0.00179    6.85e-06       3e-06    0.000251    3.34e-07    4.82e-05    9.74e-05    7.81e+05       7e-05    6.68e-07    4.44e-05    9.97e-10    1.04e-08       1e-14     0.00015
    50.000      0.0103    3.56e-05    0.000443    7.13e-12    5.55e-05    0.000675    0.000425      0.0018    7.14e-06       3e-06    0.000104    2.47e-07     5.1e-06    2.53e-05    7.81e+05    6.43e-05    4.94e-07    3.48e-05    8.83e-10    4.74e-09       1e-14      0.0002
    55.000      0.0101    4.59e-05    0.000339     4.8e-12    4.45e-05    0.000953    0.000425      0.0018    7.15e-06       3e-06    7.69e-05    2.28e-07       2e-06     1.5e-05    7.81e+05    6.21e-05    4.56e-07    3.62e-05    8.43e-10    3.79e-09       1e-14     0.00023
    60.000      0.0101    5.15e-05    0.000285    3.66e-12    3.84e-05     0.00176    0.000425      0.0018    7.15e-06       3e-06     6.3e-05    2.16e-07    1.05e-06    1.05e-05    7.81e+05    6.02e-05    4.32e-07    5.25e-05     8.1e-10    3.28e-09       1e-14     0.00027
    70.000      0.0115    4.32e-05    0.000231    2.57e-12    3.27e-05     0.00719    0.000425      0.0018    7.15e-06       3e-06    5.04e-05    2.03e-07    5.14e-07    7.11e-06    7.81e+05    5.75e-05    4.05e-07    0.000377     7.6e-10    2.79e-09       1e-14     0.00058
    80.000      0.0268    1.33e-05    0.000202    2.04e-12    3.01e-05      0.0113    0.000425      0.0018    7.15e-06       3e-06    4.49e-05    1.95e-07    3.53e-07    5.78e-06    7.81e+05     5.5e-05    3.89e-07       0.002    7.23e-10    2.56e-09       1e-14      0.0015
    90.000       0.213    2.24e-06    0.000183    1.71e-12    2.84e-05     0.00151    0.000425      0.0018    7.15e-06       3e-06    4.16e-05    1.89e-07    2.76e-07    5.05e-06     7.8e+05    5.25e-05    3.78e-07    0.000431    6.94e-10    2.43e-09       1e-14     9.8e-05
   100.000        2.08    3.58e-07     0.00017    1.48e-12    2.73e-05    4.47e-05    0.000425      0.0018    7.15e-06       3e-06    3.93e-05    1.85e-07     2.3e-07    4.56e-06    7.77e+05       5e-05    3.69e-07    6.76e-06     6.7e-10    2.33e-09       1e-14       1e-05
