,tiempo,inflacion,salario
0,2023-11-01 00:00:00,100.0,100.0
1,2023-12-01 12:00:00,125.5,105.5
2,2024-01-01 00:00:00,151.35,105.5
3,2024-01-31 12:00:00,171.32999999999998,122.39
4,2024-03-02 00:00:00,190.18,137.07
5,2024-04-01 12:00:00,206.91,148.04
6,2024-05-02 00:00:00,215.6,161.36
7,2024-06-01 12:00:00,225.51999999999998,167.82
8,2024-07-02 00:00:00,234.61,180.4
9,2024-08-01 12:00:00,243.53,185.81
10,2024-09-01 00:00:00,252.54,189.42000000000002
