-10	2.15	2.36
0	4.58	4.85
5	6.54	6.8
10	9.21	9.4
11	9.84	10.01
12	10.52	10.66
13	11.23	11.35
14	11.99	12.07
15	12.79	12.83
20	17.54	17.3
25	23.76	23
30	31.8	30.4
37	47.07	44
40	55.3	51.1
60	149.4	130.5
80	355.1	293.8
95	634	505
96	658	523
97	682	541
98	707	560
99	733	579
100	760	598
101	788	618
110	1074.6	0
120	1489	0
200	11659	7840
